,min,max
0,2.2148671093061676,2.3432777580351365
1,2.3432777580351365,2.3508926527260203
2,2.3508926527260203,2.3644487983842892
3,2.3644487983842892,2.396936513269573
4,2.396936513269573,2.4839348237460324
5,2.4839348237460324,2.505269965357292
6,2.505269965357292,2.5275623902591615
7,2.5275623902591615,2.5669284401360803
8,2.5669284401360803,2.5669284401360803
9,2.5669284401360803,2.619328128517883
10,2.619328128517883,2.6357669197097287
11,2.6357669197097287,2.6796729156584544
12,2.6796729156584544,2.717531772171851
13,2.717531772171851,2.7309335137010953
14,2.7309335137010953,2.797927638956496
15,2.797927638956496,2.880496401116323
16,2.880496401116323,2.888620212701377
17,2.888620212701377,2.908014289866113
18,2.908014289866113,2.912878895957381
19,2.912878895957381,2.9174351608660323
20,2.9174351608660323,2.9283149095773915
21,2.9283149095773915,2.9371297102373366
22,2.9371297102373366,2.958326545685623
23,2.958326545685623,2.9784456582685266
24,2.9784456582685266,3.0440398332859657
25,3.0440398332859657,3.0484308560776343
26,3.0484308560776343,3.0716017085648297
27,3.0716017085648297,3.090083693829518
28,3.090083693829518,3.1984171459172375
29,3.1984171459172375,3.2055348356799738
30,3.2055348356799738,3.220709570819107
31,3.220709570819107,3.2600756206960257
32,3.2600756206960257,3.313479397974277
33,3.313479397974277,3.3637916537937875
34,3.3637916537937875,3.4446159633151847
35,3.4446159633151847,3.463061087052399
36,3.463061087052399,3.4910748195164416
37,3.4910748195164416,3.545137311571041
38,3.545137311571041,3.5736435816762686
39,3.5736435816762686,3.5915949062174737
40,3.5915949062174737,3.6011614704260584
41,3.6011614704260584,3.606026076517326
42,3.606026076517326,3.6109999437881384
43,3.6109999437881384,3.6124430033515025
44,3.6124430033515025,3.6261746789272715
45,3.6261746789272715,3.6514737262455683
46,3.6514737262455683,3.764748889124775
47,3.764748889124775,3.874617277559778
48,3.874617277559778,3.9138567513790523
49,3.9138567513790523,3.979108689784433
50,3.979108689784433,3.9957693647548984
51,3.9957693647548984,3.9957693647548984
52,3.9957693647548984,3.9957693647548984
53,3.9957693647548984,3.9957693647548984
54,3.9957693647548984,3.9957693647548984
55,3.9957693647548984,4.011491184625491
56,4.011491184625491,4.026927198245501
57,4.026927198245501,4.238284492130987
58,4.238284492130987,4.323424071357227
59,4.323424071357227,4.415086162614278
60,4.415086162614278,4.569236842441536
61,4.569236842441536,5.1082333431742235
