,min,max
0,1.0000181814876103,1.0671591797708266
1,1.0671591797708266,1.3259020494729434
2,1.3259020494729434,1.53150482678666
3,1.53150482678666,1.6937108067056799
4,1.6937108067056799,1.7736343288407521
5,1.7736343288407521,1.8638608164797799
6,1.8638608164797799,1.9674218564540398
7,1.9674218564540398,2.075913660390661
8,2.075913660390661,2.1369531266833723
9,2.1369531266833723,2.2106367137560463
10,2.2106367137560463,2.2864209267387325
11,2.2864209267387325,2.3595672261341427
12,2.3595672261341427,2.4164243847366977
13,2.4164243847366977,2.4889467972234707
14,2.4889467972234707,2.5751301460681946
15,2.5751301460681946,2.6414792194518033
16,2.6414792194518033,2.7400364319887904
17,2.7400364319887904,2.826431723583309
18,2.826431723583309,2.9337150897152515
19,2.9337150897152515,3.0316545476671104
20,3.0316545476671104,3.141350912277205
21,3.141350912277205,3.273468397361847
22,3.273468397361847,3.4037679271017063
23,3.4037679271017063,3.5266281484503392
24,3.5266281484503392,3.689608919072767
25,3.689608919072767,3.8751142247463473
26,3.8751142247463473,4.10260700566513
27,4.10260700566513,4.409379142555277
28,4.409379142555277,4.915840143329382
29,4.915840143329382,11.583127306019376
