,min,max
0,1.2468721547679358,2.1727736264818134
1,2.1727736264818134,2.2336068698849854
2,2.2336068698849854,2.2707270984841914
3,2.2707270984841914,2.305446960221613
4,2.305446960221613,2.3454844434360456
5,2.3454844434360456,2.4106318498849784
6,2.4106318498849784,2.4556572714258276
7,2.4556572714258276,2.4954416794608623
8,2.4954416794608623,2.530450494519152
9,2.530450494519152,2.564805589537939
10,2.564805589537939,2.5950832641103716
11,2.5950832641103716,2.63035322530256
12,2.63035322530256,2.658514028362312
13,2.658514028362312,2.684957234395215
14,2.684957234395215,2.714001138816435
15,2.714001138816435,2.7408464873170937
16,2.7408464873170937,2.768762322415575
17,2.768762322415575,2.7936703924284827
18,2.7936703924284827,2.8240501100525144
19,2.8240501100525144,2.8493577732494315
20,2.8493577732494315,2.8716552140465095
21,2.8716552140465095,2.89741124880626
22,2.89741124880626,2.919799325473524
23,2.919799325473524,2.9389307814634114
24,2.9389307814634114,2.9612755873187777
25,2.9612755873187777,2.978653580336837
26,2.978653580336837,3.000988179107974
27,3.000988179107974,3.0208710571585655
28,3.0208710571585655,3.044748598876438
29,3.044748598876438,3.0775992806862047
30,3.0775992806862047,3.1119732145171954
31,3.1119732145171954,3.1428325781220843
32,3.1428325781220843,3.1775309585551805
33,3.1775309585551805,3.2163805231159652
34,3.2163805231159652,3.2549514934669355
35,3.2549514934669355,3.2892244179984176
36,3.2892244179984176,3.325336698416788
37,3.325336698416788,3.3619317744494195
38,3.3619317744494195,3.3970413679027622
39,3.3970413679027622,3.4376559552724935
40,3.4376559552724935,3.4826214657974113
41,3.4826214657974113,3.5334888231581747
42,3.5334888231581747,3.577769516224629
43,3.577769516224629,3.608670195760954
44,3.608670195760954,3.6527881448504744
45,3.6527881448504744,3.6941353596679196
46,3.6941353596679196,3.7422188585974734
47,3.7422188585974734,3.8012082704590515
48,3.8012082704590515,3.855877430563925
49,3.855877430563925,3.9132237830764884
50,3.9132237830764884,3.9748423712028265
51,3.9748423712028265,4.04909903737583
52,4.04909903737583,4.121225798941175
53,4.121225798941175,4.204639272429063
54,4.204639272429063,4.296276654051118
55,4.296276654051118,4.402481586494005
56,4.402481586494005,4.525200744595553
57,4.525200744595553,4.673112260372326
58,4.673112260372326,4.854857747702647
59,4.854857747702647,5.100309586115799
60,5.100309586115799,5.482298329427677
61,5.482298329427677,7.940485426914442
